municipio,empregos,empresas,populacao,empregos_pc,empresas_pc
ABDON BATISTA,43,7,2598.0,0.026394985430683138,0.07885259473388213
ABELARDO LUZ,2179,74,17392.0,0.23757312847923712,0.14808157388446588
AGROLANDIA,2663,170,10990.0,0.46484635250882506,0.6455782231124031
AGRONOMICA,648,63,6055.0,0.2020936500077012,0.42091577280869785
AGUA DOCE,542,46,6508.0,0.1559939566407408,0.272897139590823
AGUAS DE CHAPECO,215,24,6036.0,0.06342801130360307,0.13571770489052737
AGUAS FRIAS,253,22,2839.0,0.16732379862890442,0.30310882468472944
AGUAS MORNAS,378,68,6743.0,0.1031219186551144,0.4067149582572274
ALFREDO WAGNER,215,51,10481.0,0.034089862457154806,0.17519368596633617
ALTO BELA VISTA,105,9,1856.0,0.10412238151997172,0.1744479153551362
ANCHIETA,497,38,5943.0,0.15666531216556612,0.24298878011705785
ANGELINA,143,32,5358.0,0.04608387151605747,0.22428018836184582
ANITA GARIBALDI,426,30,8285.0,0.09411069300445625,0.11996194249621958
ANITAPOLIS,198,17,3593.0,0.10127500525469717,0.1692254848100569
ANTONIO CARLOS,1462,80,11224.0,0.247223689603607,0.2755306332465273
APIUNA,1784,128,9811.0,0.34739809887158635,0.5381255392915058
ARABUTA,576,27,4378.0,0.24976850307211565,0.23292341575176748
ARAQUARI,12379,653,45283.0,0.5251654708570068,0.5990757331313058
ARARANGUA,4482,547,71922.0,0.11527833298803783,0.2967315670943149
ARMAZEM,1606,111,8834.0,0.34732213563473785,0.5167643058370396
ARROIO TRINTA,316,40,3556.0,0.16683439814250647,0.4583582896293807
ARVOREDO,93,13,2510.0,0.06620946085147285,0.18909471859047358
ASCURRA,1646,132,8319.0,0.3785177477556402,0.6632657421833974
ATALANTA,209,28,3227.0,0.12003364636141794,0.3442607893516808
AURORA,1358,59,6780.0,0.3832461426130943,0.3453821225425596
BALNEARIO ARROIO DO SILVA,333,48,15820.0,0.03513082493368489,0.09392568914708965
BALNEARIO BARRA DO SUL,227,46,14912.0,0.023814784301276398,0.09617187468001702
BALNEARIO CAMBORIU,9770,1018,139155.0,0.13060542449444817,0.2838711913994114
BALNEARIO GAIVOTA,436,75,15669.0,0.04829123781808304,0.17166993673784417
BALNEARIO PICARRAS,1982,196,27127.0,0.1361487164447454,0.27986462571442156
BALNEARIO RINCAO,609,77,15981.0,0.06826025445622262,0.17307632122614092
BANDEIRANTE,197,14,3144.0,0.11594160807023673,0.1568700746001797
BARRA BONITA,47,13,1668.0,0.0489745022933849,0.30508560870485385
BARRA VELHA,2272,234,45369.0,0.09150830380580718,0.18813750152364564
BELA VISTA DO TOLDO,45,16,5872.0,0.009134059481428635,0.08020196455267099
BELMONTE,41,15,2658.0,0.02420804696657266,0.20968254316882967
BENEDITO NOVO,2336,151,10520.0,0.42550311044557043,0.5961117005147697
BIGUACU,6438,542,76773.0,0.1571116267240737,0.2725222525927471
BLUMENAU,50084,2865,361261.0,0.263498625287721,0.3111542374903475
BOCAINA DO SUL,145,24,3515.0,0.07436630569241111,0.2622343689604493
BOM JARDIM DA SERRA,74,22,4026.0,0.029947757016748018,0.2017474616725651
BOM JESUS,106,16,2777.0,0.06838248100214755,0.2149296703703567
BOM JESUS DO OESTE,105,11,2187.0,0.08749342597015333,0.1824594446473514
BOM RETIRO,400,56,8418.0,0.08653450986382998,0.2544497270825381
BOMBINHAS,1479,244,25058.0,0.10888015107115466,0.3913149318153479
BOTUVERA,2160,77,5363.0,0.7764553439238581,0.5962902014622208
BRACO DO NORTE,7166,384,33773.0,0.4063307606995302,0.463745742308386
BRACO DO TROMBUDO,845,36,4026.0,0.40187247467327303,0.35602136587266786
BRUNOPOLIS,142,8,2489.0,0.10505022324569593,0.10191171180996059
BRUSQUE,28657,1801,141385.0,0.3878930580015707,0.524447326225948
CACADOR,14472,465,73720.0,0.37550755806797365,0.23915448876937512
CAIBI,645,54,6304.0,0.192959888564592,0.33934518469440256
CALMON,222,27,3443.0,0.1194755137936302,0.3072254664611338
CAMBORIU,6408,772,103074.0,0.11498976716310387,0.2915987038741118
CAMPO ALEGRE,4741,106,12501.0,0.7307962942309016,0.335500170483851
CAMPO BELO DO SUL,519,33,7257.0,0.13314508104925893,0.16105843691867278
CAMPO ERE,1052,67,9623.0,0.20656521865155422,0.2682060972640584
CAMPOS NOVOS,5433,196,36932.0,0.27995140778677574,0.194763112928317
CANELINHA,1570,209,12821.0,0.23207278983490814,0.6825239909171074
CANOINHAS,3916,264,55016.0,0.1324889138847079,0.17220599116182442
CAPAO ALTO,202,12,2625.0,0.1437009009010414,0.16212740431635914
CAPINZAL,6275,164,23314.0,0.5169734170034812,0.2713965548823788
CAPIVARI DE BAIXO,2082,150,23975.0,0.16290466276619245,0.236885968975106
CATANDUVAS,1105,98,10566.0,0.1973582704935165,0.37080172450496457
CAXAMBU DO SUL,266,22,4614.0,0.10621472183315067,0.1708525575804769
CELSO RAMOS,108,19,2805.0,0.0690272352464395,0.2598270491361332
CERRO NEGRO,40,14,3317.0,0.017670813685034086,0.1465665850464463
CHAPADAO DO LAGEADO,31,8,2950.0,0.014659344630202194,0.07962827338903584
CHAPECO,38371,2007,254785.0,0.2867357681884701,0.3087885065848538
COCAL DO SUL,3620,192,17240.0,0.40204931466289007,0.4534026131907572
CONCORDIA,11776,563,81646.0,0.2743663171906209,0.2652397293868766
CORDILHEIRA ALTA,831,75,4781.0,0.33181516108711934,0.6552713446266066
CORONEL FREITAS,1194,101,10388.0,0.21747775257973548,0.3906648911172286
CORONEL MARTINS,16,7,2065.0,0.009298549206677217,0.10970608153962245
CORREIA PINTO,1729,85,15727.0,0.20776331807784174,0.19909609571641515
CORUPA,3421,146,15267.0,0.4294355876121214,0.38358218686835754
CRICIUMA,24884,1469,214493.0,0.21956123991999246,0.2631583911127481
CUNHA PORA,1282,90,10953.0,0.2215663709230454,0.3238590869831993
CUNHATAI,101,12,1968.0,0.09392213813938406,0.22983391287275803
CURITIBANOS,3577,238,40045.0,0.1677289700537656,0.22299077162108646
DESCANSO,267,49,8530.0,0.0550413352730873,0.21416740234397516
DIONISIO CERQUEIRA,344,59,15008.0,0.03876607943143451,0.13372543992746766
DONA EMMA,863,74,4221.0,0.39132326441773796,0.7370931032450001
DOUTOR PEDRINHO,710,79,3637.0,0.3733818645917004,0.9229729645554839
ENTRE RIOS,15,6,3402.0,0.0028138096700978383,0.03756177980276565
ERMO,546,20,2269.0,0.461590301119532,0.3503683146704731
ERVAL VELHO,285,46,4885.0,0.10755717681095543,0.3770814794800982
FAXINAL DOS GUEDES,1374,62,11192.0,0.23267662165567252,0.20508326267474744
FLOR DO SERTAO,238,7,1783.0,0.25348952980880646,0.13349167295427591
FLORIANOPOLIS,19210,1732,537211.0,0.06369824816293287,0.10235167053608696
