municipio,empregos,empresas,populacao
ABDON BATISTA,43,7,2598.0
ABELARDO LUZ,2179,74,17392.0
AGROLANDIA,2663,170,10990.0
AGRONOMICA,648,63,6055.0
AGUA DOCE,542,46,6508.0
AGUAS DE CHAPECO,215,24,6036.0
AGUAS FRIAS,253,22,2839.0
AGUAS MORNAS,378,68,6743.0
ALFREDO WAGNER,215,51,10481.0
ALTO BELA VISTA,105,9,1856.0
ANCHIETA,497,38,5943.0
ANGELINA,143,32,5358.0
ANITA GARIBALDI,426,30,8285.0
ANITAPOLIS,198,17,3593.0
ANTONIO CARLOS,1462,80,11224.0
APIUNA,1784,128,9811.0
ARABUTA,576,27,4378.0
ARAQUARI,12379,653,45283.0
ARARANGUA,4482,547,71922.0
ARMAZEM,1606,111,8834.0
ARROIO TRINTA,316,40,3556.0
ARVOREDO,93,13,2510.0
ASCURRA,1646,132,8319.0
ATALANTA,209,28,3227.0
AURORA,1358,59,6780.0
BALNEARIO ARROIO DO SILVA,333,48,15820.0
BALNEARIO BARRA DO SUL,227,46,14912.0
BALNEARIO CAMBORIU,9770,1018,139155.0
BALNEARIO GAIVOTA,436,75,15669.0
BALNEARIO PICARRAS,1982,196,27127.0
BALNEARIO RINCAO,609,77,15981.0
BANDEIRANTE,197,14,3144.0
BARRA BONITA,47,13,1668.0
BARRA VELHA,2272,234,45369.0
BELA VISTA DO TOLDO,45,16,5872.0
BELMONTE,41,15,2658.0
BENEDITO NOVO,2336,151,10520.0
BIGUACU,6438,542,76773.0
BLUMENAU,50084,2865,361261.0
BOCAINA DO SUL,145,24,3515.0
BOM JARDIM DA SERRA,74,22,4026.0
BOM JESUS,106,16,2777.0
BOM JESUS DO OESTE,105,11,2187.0
BOM RETIRO,400,56,8418.0
BOMBINHAS,1479,244,25058.0
BOTUVERA,2160,77,5363.0
BRACO DO NORTE,7166,384,33773.0
BRACO DO TROMBUDO,845,36,4026.0
BRUNOPOLIS,142,8,2489.0
BRUSQUE,28657,1801,141385.0
CACADOR,14472,465,73720.0
CAIBI,645,54,6304.0
CALMON,222,27,3443.0
CAMBORIU,6408,772,103074.0
CAMPO ALEGRE,4741,106,12501.0
CAMPO BELO DO SUL,519,33,7257.0
CAMPO ERE,1052,67,9623.0
CAMPOS NOVOS,5433,196,36932.0
CANELINHA,1570,209,12821.0
CANOINHAS,3916,264,55016.0
CAPAO ALTO,202,12,2625.0
CAPINZAL,6275,164,23314.0
CAPIVARI DE BAIXO,2082,150,23975.0
CATANDUVAS,1105,98,10566.0
CAXAMBU DO SUL,266,22,4614.0
CELSO RAMOS,108,19,2805.0
CERRO NEGRO,40,14,3317.0
CHAPADAO DO LAGEADO,31,8,2950.0
CHAPECO,38371,2007,254785.0
COCAL DO SUL,3620,192,17240.0
CONCORDIA,11776,563,81646.0
CORDILHEIRA ALTA,831,75,4781.0
CORONEL FREITAS,1194,101,10388.0
CORONEL MARTINS,16,7,2065.0
CORREIA PINTO,1729,85,15727.0
CORUPA,3421,146,15267.0
CRICIUMA,24884,1469,214493.0
CUNHA PORA,1282,90,10953.0
CUNHATAI,101,12,1968.0
CURITIBANOS,3577,238,40045.0
DESCANSO,267,49,8530.0
DIONISIO CERQUEIRA,344,59,15008.0
