municipio,def_mean,ppt_std,ws_std,dtr_mean
Bocaina do Sul,0.05852833544026622,0.08729568390652451,0.5025781483517973,0.5017736214124476
Massaranduba,0.10279202592384427,0.3790102662767728,0.13829367359796516,0.3471607399372632
Blumenau,0.12551879569987373,0.30399287914565204,0.2115962702065967,0.37868527259046436
Timbé do Sul,0.08888541702409435,0.03476912166283447,0.5938672628219288,0.43654712038724786
Lontras,0.11526438099235438,0.1638983997381492,0.27964483127434736,0.4861668190213232
Ascurra,0.10886090874114156,0.1886975891157991,0.21869243009211986,0.45618715370408336
Tigrinhos,0.249189141110132,0.7045143562004239,0.28287637978822683,0.8845680279088857
Arroio Trinta,0.11560324178074541,0.22596908064012436,0.3882667973430275,0.7395854709624462
Lindóia do Sul,0.12710236082209325,0.6109464994675943,0.28789881313976695,0.772829878924687
Tijucas,0.11974574372958446,0.30460106437145834,0.5888061184888038,0.2952713201020197
Arvoredo,0.44008487127615115,0.8341114547804438,0.06178978089855146,0.6949517750872152
Leoberto Leal,0.05383560347053444,0.16869729468098404,0.4889215620592952,0.3902656896947162
Treviso,0.1190018161584319,0.10952356327173823,0.5945088859487634,0.5692078801559616
Balneário Arroio do Silva,0.598456610085816,0.03539840966885398,0.8138385440655621,0.40221629386414937
Treze de Maio,0.41644559385071095,0.24971606984602635,0.7629154621775363,0.4428483480402214
Major Gercino,0.060836251092292196,0.19878309894710125,0.4701521012707648,0.3121964566659826
Balneário Camboriú,0.11790550184304915,0.33676393896176393,0.7919687187092468,0.4403857993022775
Macieira,0.0926119644238617,0.19243536033811745,0.393572837701125,0.7551522969130193
Luzerna,0.10876954921485966,0.377454229484479,0.42757447680507865,0.720500718243382
Timbó,0.10867818968857777,0.23881400107584083,0.19789265685272034,0.4159655243176687
Luiz Alves,0.11316785783728803,0.37207223402814094,0.30780209569316397,0.35824220925801037
Três Barras,0.297601384628056,0.13976148593371476,0.27142466134335946,0.8296364009477082
