municipio,hhi
ABDON BATISTA,0.6116819902650081
ABELARDO LUZ,0.5536015801042999
AGROLANDIA,0.15492833814350535
AGRONOMICA,0.29237635269013873
AGUA DOCE,0.17153225037785433
AGUAS DE CHAPECO,0.46159004867495945
AGUAS FRIAS,0.2798200253089409
AGUAS MORNAS,0.2015201142185269
ALFREDO WAGNER,0.21657111952406707
ALTO BELA VISTA,0.5227210884353741
ANCHIETA,0.1834224663878644
ANGELINA,0.12083720475328867
ANITA GARIBALDI,0.5200026449778482
ANITAPOLIS,0.26487093153759816
ANTONIO CARLOS,0.3846856338692382
APIUNA,0.5605827334151099
ARABUTA,0.4026813271604939
ARAQUARI,0.11860429117032453
ARARANGUA,0.09429258508574434
ARMAZEM,0.2260909819807106
ARROIO TRINTA,0.14202451530203491
ARVOREDO,0.3712567926927969
ASCURRA,0.23105462781011887
ATALANTA,0.2159062292529933
AURORA,0.40609403502074654
BALNEARIO ARROIO DO SILVA,0.1672753834915997
BALNEARIO BARRA DO SUL,0.17987929127287547
BALNEARIO CAMBORIU,0.2853688258816652
BALNEARIO GAIVOTA,0.12182265802541875
BALNEARIO PICARRAS,0.1869321369622261
BALNEARIO RINCAO,0.1600432483734675
BANDEIRANTE,0.731763250792342
BARRA BONITA,0.2675418741511996
BARRA VELHA,0.1057159417774251
BELA VISTA DO TOLDO,0.35111111111111115
BELMONTE,0.18381915526472337
BENEDITO NOVO,0.17828157252767873
BIGUACU,0.11297866301562032
BLUMENAU,0.12093362011336967
BOCAINA DO SUL,0.30720570749108206
BOM JARDIM DA SERRA,0.22863403944485028
BOM JESUS,0.42648629405482374
BOM JESUS DO OESTE,0.29070294784580497
BOM RETIRO,0.18408750000000002
BOMBINHAS,0.24097335653853064
BOTUVERA,0.38170053155006867
BRACO DO NORTE,0.12892536304060584
BRACO DO TROMBUDO,0.5213528938062394
BRUNOPOLIS,0.36332076968855387
BRUSQUE,0.21917644872888944
CACADOR,0.16676214086498897
CAIBI,0.12547082507060872
CALMON,0.45073451830208583
CAMBORIU,0.17428077379866924
CAMPO ALEGRE,0.3825900258134052
CAMPO BELO DO SUL,0.30807355185049057
CAMPO ERE,0.3001344532955515
CAMPOS NOVOS,0.19262360019851285
CANELINHA,0.172550610572437
CANOINHAS,0.1424229556122912
CAPAO ALTO,0.38324674051563573
CAPINZAL,0.5037562959318106
CAPIVARI DE BAIXO,0.10549599005611429
CATANDUVAS,0.1407546938023382
CAXAMBU DO SUL,0.3214144383515179
CELSO RAMOS,0.2016460905349794
CERRO NEGRO,0.3325
CHAPADAO DO LAGEADO,0.23829344432882416
CHAPECO,0.2763030713090933
COCAL DO SUL,0.27385656725985164
CONCORDIA,0.358941970565594
CORDILHEIRA ALTA,0.1386307654211576
CORONEL FREITAS,0.28145473318575004
CORONEL MARTINS,0.1796875
CORREIA PINTO,0.22370235773176322
CORUPA,0.17037921375796672
CRICIUMA,0.08778360914689166
CUNHA PORA,0.17247329518765775
