municipio,hhi,hhi_norm
ABDON BATISTA,0.6116819902650081,0.616429777163437
ABELARDO LUZ,0.5536015801042999,0.5513407893150294
AGROLANDIA,0.15492833814350535,0.10455954707397017
AGRONOMICA,0.29237635269013873,0.2585934480718982
AGUA DOCE,0.17153225037785433,0.12316705756962935
AGUAS DE CHAPECO,0.46159004867495945,0.4482262032687814
AGUAS FRIAS,0.2798200253089409,0.2445219455106386
AGUAS MORNAS,0.2015201142185269,0.15677356447487328
ALFREDO WAGNER,0.21657111952406707,0.1736407783724323
ALTO BELA VISTA,0.5227210884353741,0.5167339409572103
ANCHIETA,0.1834224663878644,0.13649206893316915
ANGELINA,0.12083720475328867,0.06635462805162831
ANITA GARIBALDI,0.5200026449778482,0.5136874622446135
ANITAPOLIS,0.26487093153759816,0.2277689408377155
ANTONIO CARLOS,0.3846856338692382,0.3620417134050229
APIUNA,0.5605827334151099,0.5591643601499782
ARABUTA,0.4026813271604939,0.3822089515274323
ARAQUARI,0.11860429117032453,0.06385226822555361
ARARANGUA,0.09429258508574434,0.03660686245905267
ARMAZEM,0.2260909819807106,0.18430940502373255
ARROIO TRINTA,0.14202451530203491,0.09009861668793322
ARVOREDO,0.3712567926927969,0.34699241058961505
ASCURRA,0.23105462781011887,0.18987201524256878
ATALANTA,0.2159062292529933,0.172895655625284
AURORA,0.40609403502074654,0.38603347170267766
BALNEARIO ARROIO DO SILVA,0.1672753834915997,0.11839651348660635
BALNEARIO BARRA DO SUL,0.17987929127287547,0.1325213379867766
BALNEARIO CAMBORIU,0.2853688258816652,0.250740321242696
BALNEARIO GAIVOTA,0.12182265802541875,0.0674589962177168
BALNEARIO PICARRAS,0.1869321369622261,0.1404252523375984
BALNEARIO RINCAO,0.1600432483734675,0.11029167480658265
BANDEIRANTE,0.731763250792342,0.7510012735708894
BARRA BONITA,0.2675418741511996,0.23076218676761615
BARRA VELHA,0.1057159417774251,0.049408678473014674
BELA VISTA DO TOLDO,0.35111111111111115,0.32441574454955135
BELMONTE,0.18381915526472337,0.1369366263564729
BENEDITO NOVO,0.17828157252767873,0.13073082211914527
BIGUACU,0.11297866301562032,0.05754779410789462
BLUMENAU,0.12093362011336967,0.06646267787743614
BOCAINA DO SUL,0.30720570749108206,0.2752122648427775
BOM JARDIM DA SERRA,0.22863403944485028,0.18715933387105274
BOM JESUS,0.42648629405482374,0.4088864697582693
BOM JESUS DO OESTE,0.29070294784580497,0.2567181130445297
BOM RETIRO,0.18408750000000002,0.1372373523183812
BOMBINHAS,0.24097335653853064,0.20098763945887294
BOTUVERA,0.38170053155006867,0.3586963980389457
BRACO DO NORTE,0.12892536304060584,0.07541878643175166
BRACO DO TROMBUDO,0.5213528938062394,0.5152006459383976
BRUNOPOLIS,0.36332076968855387,0.33809874569540077
BRUSQUE,0.21917644872888944,0.17656049330703008
CACADOR,0.16676214086498897,0.1178213377432823
CAIBI,0.12547082507060872,0.07154738849690857
CALMON,0.45073451830208583,0.43606073331819223
CAMBORIU,0.17428077379866924,0.12624724600224327
CAMPO ALEGRE,0.3825900258134052,0.3596932277985383
CAMPO BELO DO SUL,0.30807355185049057,0.27618483219909523
CAMPO ERE,0.3001344532955515,0.26728772062670964
CAMPOS NOVOS,0.19262360019851285,0.14680350587267657
CANELINHA,0.172550610572437,0.12430830354477117
CANOINHAS,0.1424229556122912,0.09054513689054247
CAPAO ALTO,0.38324674051563573,0.3604291884288969
CAPINZAL,0.5037562959318106,0.4954806621770425
CAPIVARI DE BAIXO,0.10549599005611429,0.04916218512222699
CATANDUVAS,0.1407546938023382,0.0886755655088057
CAXAMBU DO SUL,0.3214144383515179,0.29113556682630687
CELSO RAMOS,0.2016460905349794,0.15691474238508563
CERRO NEGRO,0.3325,0.30355882598433115
CHAPADAO DO LAGEADO,0.23829344432882416,0.19798434156945152
CHAPECO,0.2763030713090933,0.24058059978794
