municipio,ano,previous_ano,risk_norm_without_GDP,risk_norm_without_GDP_previous,risk_change,hazard_index,hazard_index_previous,hazard_change,real_gdp,real_gdp_brl,real_gdp_previous,real_gdp_previous_brl,observed_gdp_change_mil_reais,observed_gdp_change_brl,gdp_risk_percent_points,estimated_gdp_risk_impact_mil_reais,estimated_gdp_risk_impact_brl,gdp_hazard_percent_points,estimated_gdp_hazard_impact_mil_reais,estimated_gdp_hazard_impact_brl,va_agro_2010,va_agro_2010_brl,va_agro_2010_previous,va_agro_2010_previous_brl,observed_agro_change_mil_reais,observed_agro_change_brl,agro_risk_percent_points,estimated_agro_risk_impact_mil_reais,estimated_agro_risk_impact_brl,va_industrial_2010,va_industrial_2010_brl,va_industrial_2010_previous,va_industrial_2010_previous_brl,observed_industrial_change_mil_reais,observed_industrial_change_brl,industrial_indirect_percent_points,estimated_industrial_indirect_impact_mil_reais,estimated_industrial_indirect_impact_brl,gdp_beta_risk,gdp_beta_hazard,agro_beta_risk,industrial_beta_agro,dashboard_note
ABDON BATISTA,2002,,0.009973235051049618,,,0.483617411832923,,,70160.75912189005,70160759.12189005,,,,,,,,,,,14868.8353381954,14868835.3381954,,,,,,,,1914.670189876,1914670.189876,,,,,,,,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2003,2002.0,0.009588151648330762,0.009973235051049618,-0.00038508340271885613,0.5041463880389957,0.483617411832923,0.02052897620607269,70829.69800902312,70829698.00902313,70160.75912189005,70160759.12189005,668.9388871330739,668938.8871330739,0.0021570247339397497,1.5278141050294591,1527.8141050294591,-0.1152152989742028,-81.60664832362096,-81606.64832362096,15022.380467237,15022380.467237001,14868.8353381954,14868835.3381954,153.54512904160038,153545.1290416004,0.014421241672479823,2.1664137921396516,2166.4137921396514,1532.6760010621,1532676.0010621,1914.670189876,1914670.189876,-381.9941888138999,-381994.1888138999,0.001667577783504015,0.025558564486809345,25.558564486809345,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2004,2003.0,0.008444067248892422,0.009588151648330762,-0.0011440843994383401,0.5801523172494907,0.5041463880389957,0.07600592921049498,61319.44511717786,61319445.11717786,70829.69800902312,70829698.00902313,-9510.252891845266,-9510252.891845265,0.006408665733093066,3.929758266947387,3929.758266947387,-0.4259063843853328,-261.1634316237207,-261163.43162372074,11972.4411839984,11972441.1839984,15022.380467237,15022380.467237001,-3049.9392832386,-3049939.2832386,0.04285165886812603,5.1303896543540235,5130.389654354023,1274.2585422892,1274258.5422892,1532.6760010621,1532676.0010621,-258.4174587729001,-258417.45877290008,0.004954461987449754,0.06313265509954977,63.132655099549766,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2005,2004.0,0.0,0.008444067248892422,-0.008444067248892422,0.5620198413791724,0.5801523172494907,-0.0181324758703183,54154.30930112135,54154309.30112135,61319.44511717786,61319445.11717786,-7165.135816056507,-7165135.816056507,0.04730968269630598,25.620231896736627,25620.231896736626,0.10187588672136982,55.17018279835063,55170.18279835063,9508.4358226857,9508435.8226857,11972.4411839984,11972441.1839984,-2464.0053613127,-2464005.3613127,0.31670508368333294,30.113699629212753,30113.699629212755,909.0241860728,909024.1860728001,1274.2585422892,1274258.5422892,-365.2343562164,-365234.3562164,0.03657284681692907,0.33245602310124145,332.45602310124144,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2006,2005.0,0.0,0.0,0.0,0.4971921884094106,0.5620198413791724,-0.06482765296976178,61150.17381564533,61150173.81564533,54154.30930112135,54154309.30112135,6995.864514523979,6995864.514523979,0.0,0.0,0.0,0.36470709823535064,223.01902448891326,223019.02448891327,10364.5590135586,10364559.0135586,9508.4358226857,9508435.8226857,856.1231908729005,856123.1908729005,0.0,0.0,0.0,1714.2033892541,1714203.3892541002,909.0241860728,909024.1860728001,805.1792031813001,805179.2031813001,0.0,0.0,0.0,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2007,2006.0,0.0,0.0,0.0,0.4402589391271132,0.4971921884094106,-0.05693324928229737,78482.2670052737,78482267.0052737,61150.17381564533,61150173.81564533,17332.093189628366,17332093.189628366,0.0,0.0,0.0,0.32022377161242677,251.3188754512226,251318.8754512226,14761.6219813214,14761621.9813214,10364.5590135586,10364559.0135586,4397.0629677627985,4397062.967762798,0.0,0.0,0.0,2917.4493773438,2917449.3773438,1714.2033892541,1714203.3892541002,1203.2459880896997,1203245.9880896998,0.0,0.0,0.0,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2008,2007.0,0.0,0.0,0.0,0.5438367920032784,0.4402589391271132,0.10357785287616517,96255.1272056602,96255127.20566021,78482.2670052737,78482267.0052737,17772.86020038651,17772860.20038651,0.0,0.0,0.0,-0.5799594788774676,-558.2407341347904,-558240.7341347904,20083.6369953228,20083636.995322797,14761.6219813214,14761621.9813214,5322.015014001399,5322015.014001399,0.0,0.0,0.0,3174.4108783278,3174410.8783278004,2917.4493773438,2917449.3773438,256.9615009840004,256961.5009840004,0.0,0.0,0.0,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2009,2008.0,0.006981105396833396,0.0,0.006981105396833396,0.6404214961545704,0.5438367920032784,0.09658470415129206,94171.5565786396,94171556.5786396,96255.1272056602,96255127.20566021,-2083.570627020599,-2083570.6270205993,-0.039096233967361727,-36.817532090691365,-36817.53209069136,-0.5409091096375662,-509.3825282213564,-509382.5282213564,18242.22667502895,18242226.67502895,20083.6369953228,20083636.995322797,-1841.4103202938495,-1841410.3202938496,-0.26107975129239236,-47.626760033360036,-47626.760033360035,3158.3718457271516,3158371.8457271517,3174.4108783278,3174410.8783278004,-16.039032600648625,-16039.032600648625,-0.03022638637590891,-0.9546616772774145,-954.6616772774145,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2010,2009.0,0.009962888396314143,0.006981105396833396,0.002981782999480747,0.4399340046822889,0.6404214961545704,-0.20048749147228156,89115.35374870073,89115353.74870072,94171.5565786396,94171556.5786396,-5056.202829938877,-5056202.829938876,-0.016700728161789247,-14.882912979987372,-14882.912979987372,1.1322113237862252,1008.974126374942,1008974.126374942,15496.0,15496000.0,18242.22667502895,18242226.67502895,-2746.226675028949,-2746226.675028949,-0.1115963868645875,-17.29297610853648,-17292.976108536477,4888.0,4888000.0,3158.3718457271516,3158371.8457271517,1729.6281542728484,1729628.1542728485,-0.01291146952925315,-0.631112630589894,-631.112630589894,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
ABDON BATISTA,2011,2010.0,0.026659483381558075,0.009962888396314143,0.01669659498524393,0.581886401831631,0.4399340046822889,0.1419523971493421,110213.94307164058,110213943.07164058,89115.35374870073,89115353.74870072,21098.58932293985,21098589.32293985,-0.09348038314273,-103.02841626007994,-103028.41626007993,-0.7939736231631911,-875.0696370369216,-875069.6370369216,15559.65569230474,15559655.69230474,15496.0,15496000.0,63.655692304739205,63655.692304739205,-0.6232861496631714,-96.98117886541269,-96981.17886541269,5139.468567643318,5139468.567643318,4888.0,4888000.0,251.46856764331824,251468.56764331824,-0.07227674686517416,-3.7146406868507533,-3714.6406868507534,-0.05601387790995002,-0.05615561227592445,-0.3744695774880507,0.11564081348089222,"Model-associated values use the selected year's change from the previous year. They are associations from fixed-effects panel models, not causal proof. Money columns are converted from thousand reais to reais."
