expense_scope,expense_label,variable,coefficient,std_error_cluster_municipio,p_value,conf_low,conf_high,pct_effect_0_1,pct_effect_0_1_percent,nobs,n_municipalities,year_min,year_max,entity_effects,time_effects,dependent_variable,delta_risk,interpretation_note
total,Total budgetary expenses,risk_norm,-0.0817185404326198,0.047675791915079514,0.0865758288692835,-0.17518171061007487,0.011744629744835283,-0.008138555210146059,-0.8138555210146059,5880,295,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
total,Total budgetary expenses,risk_norm_lag1,-0.055516007813120806,0.04055762675026665,0.1711114539445624,-0.13502479453040914,0.023992778904167518,-0.005536219123133401,-0.5536219123133401,5880,295,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
total,Total budgetary expenses,risk_norm_lag2,-0.024598992547510204,0.0458289864445785,0.591457495925972,-0.11444170280095306,0.06524371770593265,-0.0024568761819054874,-0.24568761819054874,5880,295,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
total,Total budgetary expenses,risk_norm_cumulative_lag0_lag2,-0.1618335407932508,,,,,-0.016053107161883684,-1.6053107161883684,5880,295,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
environmental,Environmental expenses,risk_norm,-0.10792750563750307,0.5355924670399789,0.8403096795531249,-1.157987586367182,0.9421325750921759,-0.010734717796749504,-1.0734717796749504,4283,266,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
environmental,Environmental expenses,risk_norm_lag1,0.11062281539010829,0.43079288794384607,0.7973549920716898,-0.7339716151329794,0.955217245913196,0.011123694823534702,1.1123694823534702,4283,266,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
environmental,Environmental expenses,risk_norm_lag2,0.36192401984078026,0.5628894967596356,0.5202770547913715,-0.7416534701039983,1.4655015097855588,0.036855320321559804,3.6855320321559804,4283,266,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
environmental,Environmental expenses,risk_norm_cumulative_lag0_lag2,0.3646193295933855,,,,,0.03713482261282053,3.713482261282053,4283,266,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
industrial,Industrial expenses,risk_norm,-0.25806891165464935,0.6700689032758324,0.7001641724536696,-1.5719409628785694,1.0558031395692709,-0.025476739509504576,-2.5476739509504576,3090,234,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
industrial,Industrial expenses,risk_norm_lag1,-0.5159678696651907,0.5870565204122309,0.379526414221647,-1.667069123413246,0.6351333840828645,-0.05028827420326676,-5.028827420326676,3090,234,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
industrial,Industrial expenses,risk_norm_lag2,-0.6919755325269633,0.5750577391174422,0.22895500251274026,-1.8195495589780943,0.4355984939241676,-0.0668576834318706,-6.68576834318706,3090,234,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
industrial,Industrial expenses,risk_norm_cumulative_lag0_lag2,-1.4660123138468033,,,,,-0.1363616993916139,-13.636169939161391,3090,234,2004,2023,True,True,log(real_expense),0.1,Monetary impacts are in each municipality's fiscal scale and are not directly comparable across municipalities.
