municipio,risk_norm
GUATAMBU,1.0
ITAPIRANGA,0.8016342308022704
SANGAO,0.7515384002469745
PINHEIRO PRETO,0.5767357708151944
TREZE DE MAIO,0.5725456821270306
SEARA,0.5560434566647358
TREVISO,0.5418727936610851
BOTUVERA,0.5130066563807163
VARGEM BONITA,0.49997955351715956
TREZE TILIAS,0.4787122409687719
SAO LOURENCO DO OESTE,0.47784409694044283
MORRO DA FUMACA,0.47077021571899663
IPUACU,0.4569665624480511
PONTE ALTA DO NORTE,0.456634507740976
GUARUJA DO SUL,0.4552117899913961
IPUMIRIM,0.45485729942020087
PRINCESA,0.4519379478345016
TRES BARRAS,0.4467576639926046
WITMARSUM,0.44566347430604614
ITAPEMA,0.4452272598948821
QUILOMBO,0.4369174539735165
CAPINZAL,0.4273674127599883
NOVA TRENTO,0.42705708724742397
SAO LUDGERO,0.41552303133983065
DONA EMMA,0.4089907343709272
ARMAZEM,0.40572316697575317
NOVA VENEZA,0.4052583586600716
SAO JOAO DO OESTE,0.4040217990815742
SALTO VELOSO,0.38318639444554287
GUABIRUBA,0.37943151631842936
BRACO DO TROMBUDO,0.3793161588297437
DOUTOR PEDRINHO,0.3754167859731374
GRAO PARA,0.37172114346153345
PINHALZINHO,0.37063025898314694
VARGEAO,0.3684721408418681
SAO MIGUEL DO OESTE,0.36428162936104613
PEDRAS GRANDES,0.3632104886904583
NOVA ERECHIM,0.3600283139518192
TANGARA,0.3589199938464444
PARAISO,0.357924521853798
MONDAI,0.35769983891048723
CORDILHEIRA ALTA,0.35691229320948437
ERMO,0.35343818779750225
SANTA ROSA DE LIMA,0.349411591172491
PRESIDENTE GETULIO,0.3468548662826409
SALETE,0.3444345869071343
CAMPO ALEGRE,0.3427913302968717
SANTA CECILIA,0.3414067017930341
XAXIM,0.3389818664888252
LUZERNA,0.3388659995513392
COCAL DO SUL,0.33780934979160765
JAGUARUNA,0.33709176375734073
MARAVILHA,0.33353347757803536
ITA,0.33019066474382247
VITOR MEIRELES,0.3263321338590218
MODELO,0.32283989998025076
APIUNA,0.32004840055276196
CANELINHA,0.31955693548500375
ORLEANS,0.3156388430325093
CORONEL FREITAS,0.31407607294343987
SAO JOAO BATISTA,0.30831813673198377
SAO MARTINHO,0.3081912132250137
URUSSANGA,0.30732592982948076
AGROLANDIA,0.3035916176407379
