municipio,risk_norm
GUATAMBU,1.0
SANGAO,0.7689300618220866
PINHEIRO PRETO,0.7369658576551629
PONTE ALTA DO NORTE,0.7110581649493678
ITAPIRANGA,0.6280715738339809
TREZE DE MAIO,0.5899579924139057
IOMERE,0.572025748749477
GUARUJA DO SUL,0.5497608175763605
MORRO DA FUMACA,0.5151200035926494
ARMAZEM,0.5138770858620452
BOTUVERA,0.5040222294180601
MODELO,0.4768145943340399
GRAO PARA,0.47572540342626934
TRES BARRAS,0.4692244047395384
SAO JOAO DO OESTE,0.465010416296356
TREZE TILIAS,0.46167050305656904
CORDILHEIRA ALTA,0.45473562059229816
SAO LUDGERO,0.4543949847430061
IPUMIRIM,0.4491869553794575
SAO LOURENCO DO OESTE,0.4471667304257444
WITMARSUM,0.4398976907065506
NOVA VENEZA,0.4360573616784962
SANTA CECILIA,0.43455318172715635
TREVISO,0.4238616670649956
SEARA,0.42164617372902546
PINHALZINHO,0.41816528891367594
PEDRAS GRANDES,0.4178275821419446
NOVA TRENTO,0.41763419448359324
DONA EMMA,0.41276025891161455
VARGEAO,0.41075446309359037
SALTO VELOSO,0.40643304806262565
DOUTOR PEDRINHO,0.4047432821634345
SANTA HELENA,0.3929749390049369
BRACO DO NORTE,0.39233815516952264
CORONEL FREITAS,0.3912835325562329
PRINCESA,0.3895059482712832
JAGUARUNA,0.3869047069596062
TANGARA,0.38305968392643736
NOVA ERECHIM,0.38242090628503717
GUARACIABA,0.38158208980707786
SAUDADES,0.3792721472899755
LUZERNA,0.37624623160524573
AGROLANDIA,0.37448622974191514
SANTA ROSA DE LIMA,0.37251652011109204
CAIBI,0.3666366191718839
JARDINOPOLIS,0.36630489758253654
RIO FORTUNA,0.3662684867069278
CAPINZAL,0.36554000277706233
TROMBUDO CENTRAL,0.36243407460409044
VARGEM BONITA,0.3592403382630167
ITAPEMA,0.35793383931770795
TUNAPOLIS,0.3563993006209777
PRESIDENTE GETULIO,0.35593584345254625
SERRA ALTA,0.35537456371091913
URUSSANGA,0.35377591666113295
CANELINHA,0.35353022698648207
SANTIAGO DO SUL,0.35244524012878464
PALMEIRA,0.35214962578140957
MONDAI,0.35185314855853905
SAO JOSE DO CEDRO,0.35040759789482395
GRAVATAL,0.34818002616159033
BRACO DO TROMBUDO,0.34782876962273945
SAO MIGUEL DO OESTE,0.34749311687783074
PASSOS MAIA,0.3453606179392471
ITA,0.3411899820451838
SAO MARTINHO,0.3391406816455902
CAMPO ERE,0.337660304832876
XAXIM,0.3371856147314647
PERITIBA,0.3367870649687217
MARAVILHA,0.3363804342219299
AGUA DOCE,0.33556697822342757
SALETE,0.33446488643736283
PARAISO,0.33381391097612945
QUILOMBO,0.3321716603543995
IPUACU,0.33199584849728336
JUPIA,0.3290636806940855
GUABIRUBA,0.3241735070752285
COCAL DO SUL,0.3234977400984784
RIO DAS ANTAS,0.3225243622206975
AGUAS FRIAS,0.32162856779520277
CACADOR,0.32146490860936433
NOVA ITABERABA,0.321291982428926
ORLEANS,0.32045583003238404
CUNHA PORA,0.3198581225895655
ARROIO TRINTA,0.318757715237078
NOVO HORIZONTE,0.31693356697265085
FORQUILHINHA,0.316434155978416
RIO DOS CEDROS,0.3163213766888197
CAMPO ALEGRE,0.3112199087608626
RIQUEZA,0.3063682980813223
FAXINAL DOS GUEDES,0.30488072234152774
ARABUTA,0.3036204740679931
ANCHIETA,0.3034679168750688
OTACILIO COSTA,0.30153228827189993
LACERDOPOLIS,0.29693134221068723
TIMBO GRANDE,0.2967372924954963
SAO CARLOS,0.2961709579395076
MACIEIRA,0.2961576697753287
ABELARDO LUZ,0.2945292052218546
LAJEADO GRANDE,0.2928325516445267
ASCURRA,0.29115880218722906
BARRA BONITA,0.290954708326963
VITOR MEIRELES,0.2907280473410183
ERMO,0.2897658069950025
RIO NEGRINHO,0.2892027120248375
IPORA DO OESTE,0.2888733896556601
CATANDUVAS,0.28326794552466295
POUSO REDONDO,0.2830770095529661
JABORA,0.28100408788455983
FLOR DO SERTAO,0.28082728960004905
PAULO LOPES,0.27916572241636417
BENEDITO NOVO,0.2771291311206317
CORREIA PINTO,0.27701849185663185
LUIZ ALVES,0.2732709508687816
VIDEIRA,0.27238339221954716
CALMON,0.2717239093458545
LONTRAS,0.2706233757029798
CHAPECO,0.2696887536882595
CONCORDIA,0.26829121183784516
GALVAO,0.2661650724617455
TUBARAO,0.26384671973959356
FRAIBURGO,0.26349003504754753
IBIRAMA,0.2600922967523406
ERVAL VELHO,0.259123925886094
RIO DO OESTE,0.2582731277294937
ICARA,0.2574516644521517
SAO BONIFACIO,0.2570101187693464
PORTO BELO,0.2544503288244642
PONTE SERRADA,0.25327021280977396
XANXERE,0.2524961451277365
TIJUCAS,0.2520642195329302
APIUNA,0.25204378391397114
IBIAM,0.2505692884093139
SAO JOAO BATISTA,0.2499588652476655
MASSARANDUBA,0.24945357345052577
SAO BERNARDINO,0.24921156432535144
BOMBINHAS,0.24795635057294724
CORUPA,0.2462301056675687
RODEIO,0.24013543333719872
AURORA,0.23876168113588161
CAXAMBU DO SUL,0.23839699860906602
GASPAR,0.2376575459979961
TURVO,0.23612114318248711
SAO JOAO DO ITAPERIU,0.23533832415999748
LAURENTINO,0.2352476690165886
MIRIM DOCE,0.23481721605594116
ITAIOPOLIS,0.2346519397720052
CAMPOS NOVOS,0.23408894596482147
SAO CRISTOVAO DO SUL,0.23386980561757834
PAIAL,0.23209747936245778
TIMBO,0.2318395177359024
TAIO,0.23178309397224395
INDAIAL,0.2314557741860381
PALMITOS,0.23089964778667293
PENHA,0.23073516833516047
SIDEROPOLIS,0.22800711600357007
JOSE BOITEUX,0.22784473931349064
CUNHATAI,0.22678408594111563
SALTINHO,0.2256648123704942
CURITIBANOS,0.2244905676810935
DESCANSO,0.2239153891799473
PLANALTO ALEGRE,0.21824107985425725
BELMONTE,0.21822829577328065
JOACABA,0.21786183780784213
BANDEIRANTE,0.21743652512741662
CAPIVARI DE BAIXO,0.21721402618786054
AGRONOMICA,0.21663950557460346
BRUSQUE,0.21628074777725906
MARACAJA,0.21522856018949765
RIO DO CAMPO,0.21390101579035026
IBICARE,0.21348807461361446
SAO DOMINGOS,0.21145865175012543
MELEIRO,0.21039934346137001
OURO,0.21006109702245818
LINDOIA DO SUL,0.20982901836542456
AGUAS MORNAS,0.208888651209114
ILHOTA,0.20624108549311876
GUARAMIRIM,0.20621651437965202
SAO BENTO DO SUL,0.2053989507718122
SUL BRASIL,0.20515713586435405
IRACEMINHA,0.2029917394472213
POMERODE,0.19823907705007363
CRICIUMA,0.19773649620829073
MAREMA,0.19375351308569122
ARARANGUA,0.1935564282170538
MATOS COSTA,0.19122496521142118
PALMA SOLA,0.19109752460777474
SCHROEDER,0.1908963048226959
BOM JESUS DO OESTE,0.18984638978837654
MAFRA,0.1868140095197638
SOMBRIO,0.1863782325243642
PORTO UNIAO,0.18598312600781905
PONTE ALTA,0.18392457365981474
CANOINHAS,0.18351867274050837
RIO DO SUL,0.1803126140951886
PESCARIA BRAVA,0.18022390074637165
MAJOR GERCINO,0.1800699088567207
LAURO MULLER,0.17479017410455974
ATALANTA,0.17420690823591672
HERVAL D'OESTE,0.17190005272194422
PAPANDUVA,0.17012275421502993
UNIAO DO OESTE,0.16982963878547203
ALTO BELA VISTA,0.16758976404690187
GARUVA,0.1649711266309491
TIMBE DO SUL,0.16470404054776389
PETROLANDIA,0.16458137199732883
ITUPORANGA,0.16387135613614
BOM JESUS,0.1630069492592952
CELSO RAMOS,0.16254888098224138
BALNEARIO CAMBORIU,0.16218844587079811
MORRO GRANDE,0.16186762767741095
PRAIA GRANDE,0.16144810950840605
MONTE CARLO,0.1605485304625177
CAMBORIU,0.159016509198416
SAO MIGUEL DA BOA VISTA,0.15709063031812937
SANTO AMARO DA IMPERATRIZ,0.15514745737733698
PALHOCA,0.1537161681796003
BALNEARIO RINCAO,0.1536751460069868
RANCHO QUEIMADO,0.15322235301343573
IRATI,0.1530442905175388
MAJOR VIEIRA,0.15300505779722748
BIGUACU,0.15096173704040017
NAVEGANTES,0.15020094810818826
BOM RETIRO,0.14973520269018165
VIDAL RAMOS,0.1487330642497731
SANTA TEREZINHA DO PROGRESSO,0.14825882010779295
LEBON REGIS,0.14761344499704024
JARAGUA DO SUL,0.14727981187454314
IPIRA,0.14719070497899517
FORMOSA DO SUL,0.14683131051079398
ANTONIO CARLOS,0.14521443386707766
BALNEARIO PICARRAS,0.14245676800006868
MONTE CASTELO,0.14112906743429973
CAMPO BELO DO SUL,0.13981558576200778
CAPAO ALTO,0.1354289320054006
ARVOREDO,0.13403888982397275
BRUNOPOLIS,0.13254652985768664
JOINVILLE,0.1294991974308537
