municipio,empregos,empresas,populacao,empregos_pc,empresas_pc,exposure_index_pc
ABDON BATISTA,43,7,2598.0,0.026394985430683138,0.07885259473388213,0.052623790082282636
ABELARDO LUZ,2179,74,17392.0,0.23757312847923712,0.14808157388446588,0.19282735118185151
AGROLANDIA,2663,170,10990.0,0.46484635250882506,0.6455782231124031,0.555212287810614
AGRONOMICA,648,63,6055.0,0.2020936500077012,0.42091577280869785,0.3115047114081995
AGUA DOCE,542,46,6508.0,0.1559939566407408,0.272897139590823,0.21444554811578193
AGUAS DE CHAPECO,215,24,6036.0,0.06342801130360307,0.13571770489052737,0.09957285809706522
AGUAS FRIAS,253,22,2839.0,0.16732379862890442,0.30310882468472944,0.23521631165681695
AGUAS MORNAS,378,68,6743.0,0.1031219186551144,0.4067149582572274,0.2549184384561709
ALFREDO WAGNER,215,51,10481.0,0.034089862457154806,0.17519368596633617,0.10464177421174549
ALTO BELA VISTA,105,9,1856.0,0.10412238151997172,0.1744479153551362,0.13928514843755396
ANCHIETA,497,38,5943.0,0.15666531216556612,0.24298878011705785,0.19982704614131197
ANGELINA,143,32,5358.0,0.04608387151605747,0.22428018836184582,0.13518202993895165
ANITA GARIBALDI,426,30,8285.0,0.09411069300445625,0.11996194249621958,0.10703631775033792
ANITAPOLIS,198,17,3593.0,0.10127500525469717,0.1692254848100569,0.13525024503237704
ANTONIO CARLOS,1462,80,11224.0,0.247223689603607,0.2755306332465273,0.2613771614250672
APIUNA,1784,128,9811.0,0.34739809887158635,0.5381255392915058,0.44276181908154605
ARABUTA,576,27,4378.0,0.24976850307211565,0.23292341575176748,0.24134595941194156
ARAQUARI,12379,653,45283.0,0.5251654708570068,0.5990757331313058,0.5621206019941563
ARARANGUA,4482,547,71922.0,0.11527833298803783,0.2967315670943149,0.20600495004117636
ARMAZEM,1606,111,8834.0,0.34732213563473785,0.5167643058370396,0.43204322073588874
ARROIO TRINTA,316,40,3556.0,0.16683439814250647,0.4583582896293807,0.3125963438859436
ARVOREDO,93,13,2510.0,0.06620946085147285,0.18909471859047358,0.12765208972097322
ASCURRA,1646,132,8319.0,0.3785177477556402,0.6632657421833974,0.5208917449695187
ATALANTA,209,28,3227.0,0.12003364636141794,0.3442607893516808,0.23214721785654938
AURORA,1358,59,6780.0,0.3832461426130943,0.3453821225425596,0.36431413257782697
BALNEARIO ARROIO DO SILVA,333,48,15820.0,0.03513082493368489,0.09392568914708965,0.06452825704038727
BALNEARIO BARRA DO SUL,227,46,14912.0,0.023814784301276398,0.09617187468001702,0.05999332949064671
BALNEARIO CAMBORIU,9770,1018,139155.0,0.13060542449444817,0.2838711913994114,0.2072383079469298
BALNEARIO GAIVOTA,436,75,15669.0,0.04829123781808304,0.17166993673784417,0.1099805872779636
BALNEARIO PICARRAS,1982,196,27127.0,0.1361487164447454,0.27986462571442156,0.20800667107958348
BALNEARIO RINCAO,609,77,15981.0,0.06826025445622262,0.17307632122614092,0.12066828784118178
BANDEIRANTE,197,14,3144.0,0.11594160807023673,0.1568700746001797,0.13640584133520822
BARRA BONITA,47,13,1668.0,0.0489745022933849,0.30508560870485385,0.17703005549911938
BARRA VELHA,2272,234,45369.0,0.09150830380580718,0.18813750152364564,0.1398229026647264
BELA VISTA DO TOLDO,45,16,5872.0,0.009134059481428635,0.08020196455267099,0.04466801201704981
BELMONTE,41,15,2658.0,0.02420804696657266,0.20968254316882967,0.11694529506770117
BENEDITO NOVO,2336,151,10520.0,0.42550311044557043,0.5961117005147697,0.5108074054801701
BIGUACU,6438,542,76773.0,0.1571116267240737,0.2725222525927471,0.2148169396584104
BLUMENAU,50084,2865,361261.0,0.263498625287721,0.3111542374903475,0.28732643138903424
BOCAINA DO SUL,145,24,3515.0,0.07436630569241111,0.2622343689604493,0.1683003373264302
BOM JARDIM DA SERRA,74,22,4026.0,0.029947757016748018,0.2017474616725651,0.11584760934465656
BOM JESUS,106,16,2777.0,0.06838248100214755,0.2149296703703567,0.14165607568625213
BOM JESUS DO OESTE,105,11,2187.0,0.08749342597015333,0.1824594446473514,0.13497643530875236
BOM RETIRO,400,56,8418.0,0.08653450986382998,0.2544497270825381,0.17049211847318405
BOMBINHAS,1479,244,25058.0,0.10888015107115466,0.3913149318153479,0.25009754144325125
