municipio,def_mean,ppt_std,ws_std,dtr_mean,hazard_mean,hazard_max,hazard_index
Bocaina do Sul,0.05852833544026622,0.08729568390652451,0.5025781483517973,0.5017736214124476,0.2875439472777589,0.5025781483517973,0.3950610478147781
Massaranduba,0.10279202592384427,0.3790102662767728,0.13829367359796516,0.3471607399372632,0.24181417643396136,0.3790102662767728,0.31041222135536706
Blumenau,0.12551879569987373,0.30399287914565204,0.2115962702065967,0.37868527259046436,0.2549483044106467,0.37868527259046436,0.3168167885005555
Timbé do Sul,0.08888541702409435,0.03476912166283447,0.5938672628219288,0.43654712038724786,0.28851723047402633,0.5938672628219288,0.44119224664797757
Lontras,0.11526438099235438,0.1638983997381492,0.27964483127434736,0.4861668190213232,0.26124360775654354,0.4861668190213232,0.37370521338893337
Ascurra,0.10886090874114156,0.1886975891157991,0.21869243009211986,0.45618715370408336,0.24310952041328598,0.45618715370408336,0.3496483370586847
Tigrinhos,0.249189141110132,0.7045143562004239,0.28287637978822683,0.8845680279088857,0.5302869762519171,0.8845680279088857,0.7074275020804014
Arroio Trinta,0.11560324178074541,0.22596908064012436,0.3882667973430275,0.7395854709624462,0.36735614768158587,0.7395854709624462,0.553470809322016
Lindóia do Sul,0.12710236082209325,0.6109464994675943,0.28789881313976695,0.772829878924687,0.44969438808853535,0.772829878924687,0.6112621335066112
Tijucas,0.11974574372958446,0.30460106437145834,0.5888061184888038,0.2952713201020197,0.3271060616729666,0.5888061184888038,0.4579560900808852
Arvoredo,0.44008487127615115,0.8341114547804438,0.06178978089855146,0.6949517750872152,0.5077344705105904,0.8341114547804438,0.6709229626455171
Leoberto Leal,0.05383560347053444,0.16869729468098404,0.4889215620592952,0.3902656896947162,0.2754300374763825,0.4889215620592952,0.3821757997678389
Treviso,0.1190018161584319,0.10952356327173823,0.5945088859487634,0.5692078801559616,0.3480605363837238,0.5945088859487634,0.4712847111662436
Balneário Arroio do Silva,0.598456610085816,0.03539840966885398,0.8138385440655621,0.40221629386414937,0.46247746442109533,0.8138385440655621,0.6381580042433287
Treze de Maio,0.41644559385071095,0.24971606984602635,0.7629154621775363,0.4428483480402214,0.46798136847862376,0.7629154621775363,0.61544841532808
Major Gercino,0.060836251092292196,0.19878309894710125,0.4701521012707648,0.3121964566659826,0.26049197699403526,0.4701521012707648,0.3653220391324
Balneário Camboriú,0.11790550184304915,0.33676393896176393,0.7919687187092468,0.4403857993022775,0.42175598970408434,0.7919687187092468,0.6068623542066656
Macieira,0.0926119644238617,0.19243536033811745,0.393572837701125,0.7551522969130193,0.35844311484403085,0.7551522969130193,0.5567977058785251
Luzerna,0.10876954921485966,0.377454229484479,0.42757447680507865,0.720500718243382,0.4085747434369498,0.720500718243382,0.5645377308401659
Timbó,0.10867818968857777,0.23881400107584083,0.19789265685272034,0.4159655243176687,0.24033759298370194,0.4159655243176687,0.32815155865068535
Luiz Alves,0.11316785783728803,0.37207223402814094,0.30780209569316397,0.35824220925801037,0.28782109920415083,0.37207223402814094,0.3299466666161459
